dataset name,amount of badness,task,base learner,macro_f1,auc_roc,minority_precision,minority_recall,minority_f1,majority_f1,train_time,inference_time
credit-g,0.25,Task.DATA_IMBALANCE,DT,0.6044647144301711,0.7614285714285713,0.3615942028985507,0.611111111111111,0.44379485298612387,0.7651345758742185,0.08748781424947083,0.000961674377322197
credit-g,0.25,Task.DATA_IMBALANCE,RF,0.6023836882183444,0.76984126984127,0.3520767195767196,0.7444444444444445,0.4698648660912812,0.7349025103454078,0.10152549520134926,0.001070384867489338
credit-g,0.02,Task.DATA_IMBALANCE,DT,0.5481019188693513,0.8028571428571428,0.09,0.4,0.13791208791208792,0.9582917498266147,0.05412971475161612,0.0008338339626789093
credit-g,0.02,Task.DATA_IMBALANCE,RF,0.48768681054988844,0.8114285714285714,0.026050420168067225,0.3,0.047719298245614036,0.9276543228541628,0.07599454117007554,0.0009823942091315985
credit-g,0.03,Task.DATA_IMBALANCE,DT,0.45971585367656687,0.8438095238095238,0.06762422360248446,0.7,0.12204301075268816,0.7973886966004456,0.056816846039146184,0.000850721588358283
credit-g,0.03,Task.DATA_IMBALANCE,RF,0.47461525851608044,0.7961904761904761,0.06651069518716578,0.6,0.11750030573559986,0.831730211296561,0.07064399742521346,0.0008809778373688459
credit-g,0.04,Task.DATA_IMBALANCE,DT,0.5372690346563876,0.8828571428571429,0.14305555555555555,0.5333333333333334,0.21039809863339273,0.8641399706793826,0.06696397755295039,0.0009010522160679102
credit-g,0.04,Task.DATA_IMBALANCE,RF,0.4976720436109031,0.8657142857142857,0.10828157349896479,0.4666666666666667,0.141156462585034,0.8541876246367721,0.2161630806978792,0.0012342233676463366
credit-g,0.05,Task.DATA_IMBALANCE,DT,0.5177859614186152,0.8085714285714285,0.11095238095238096,0.5,0.17647008547008547,0.859101837367145,0.07877096883021295,0.0009394246153533459
credit-g,0.05,Task.DATA_IMBALANCE,RF,0.581258826617387,0.8021428571428573,0.22787171548781457,0.7,0.3058611108750881,0.8566565423596859,0.2116471266373992,0.0012613139115273952
credit-g,0.06,Task.DATA_IMBALANCE,DT,0.5024606277996347,0.7442857142857143,0.12223909784885394,0.54,0.1893971411166362,0.8155241144826333,0.06621018839068711,0.0008621698245406151
credit-g,0.06,Task.DATA_IMBALANCE,RF,0.5407640667515998,0.770142857142857,0.1402369560264297,0.5700000000000001,0.21886147835173322,0.8626666551514663,0.1451555580366403,0.0010864288546144963
credit-g,0.07,Task.DATA_IMBALANCE,DT,0.5210942667348306,0.836,0.17212526036055448,0.72,0.26527450751569154,0.7769140259539696,0.06491833655163645,0.0008317876607179641
credit-g,0.07,Task.DATA_IMBALANCE,RF,0.5435108955424538,0.8434285714285714,0.1790903540903541,0.7200000000000001,0.27622569938359415,0.8107960917013134,0.1434614601545036,0.0010765709914267064
credit-g,0.08,Task.DATA_IMBALANCE,DT,0.5646098564057102,0.7576190476190476,0.18734945361543826,0.4666666666666667,0.2573463268365817,0.8718733859748389,0.1001177950296551,0.0009784126188606024
credit-g,0.08,Task.DATA_IMBALANCE,RF,0.5544032845121343,0.7980952380952381,0.17892223928521572,0.5666666666666667,0.267515037593985,0.8412915314302836,0.13568770894780754,0.0010985870379954577
credit-g,0.09,Task.DATA_IMBALANCE,DT,0.5214502419019666,0.7830612244897959,0.1754715821812596,0.7476190476190476,0.2788248520167026,0.7640756317872306,0.09168866882100701,0.0009277298115193844
credit-g,0.09,Task.DATA_IMBALANCE,RF,0.5376260852059043,0.7892517006802722,0.178408638817846,0.6285714285714286,0.2695722701272091,0.8056799002845996,0.13752603982575237,0.0011295769363641739
credit-g,0.1,Task.DATA_IMBALANCE,DT,0.5133402592793463,0.7428571428571429,0.16433239962651727,0.6571428571428573,0.25984238026211937,0.7668381382965734,0.07655328740365804,0.000840895576402545
credit-g,0.1,Task.DATA_IMBALANCE,RF,0.5638298780317832,0.7840816326530613,0.2084675536881419,0.6285714285714284,0.30575824175824173,0.8219015143053247,0.14356026472523808,0.001091912854462862
credit-g,0.11,Task.DATA_IMBALANCE,DT,0.5580582099503901,0.775,0.21078005643944922,0.625,0.3092573700808995,0.8068590498198809,0.10942665520124137,0.0009819064754992724
credit-g,0.11,Task.DATA_IMBALANCE,RF,0.6373909021186963,0.8150000000000001,0.3185185185185185,0.7,0.41772819472616635,0.8570536095112263,0.194069777848199,0.001175043173134327
credit-g,0.12,Task.DATA_IMBALANCE,DT,0.6014796764130647,0.8047619047619048,0.2734265734265734,0.5666666666666667,0.35638095238095235,0.846578400445177,0.08952937759459019,0.0009002780076116324
credit-g,0.12,Task.DATA_IMBALANCE,RF,0.5605639101474633,0.82484126984127,0.23534353932532198,0.8388888888888889,0.36379551028107904,0.7573323100138476,0.09486877080053091,0.0009884187486022711
credit-g,0.13,Task.DATA_IMBALANCE,DT,0.5893483739190744,0.7732380952380952,0.2665565428723323,0.5888888888888888,0.3532297815056436,0.8254669663325052,0.09012735821306705,0.0008931340184062719
credit-g,0.13,Task.DATA_IMBALANCE,RF,0.5624590956608678,0.7724126984126984,0.27396223975171347,0.5844444444444444,0.3223233869767844,0.8025948043449512,0.14100438938476145,0.001138549018651247
credit-g,0.14,Task.DATA_IMBALANCE,DT,0.5244476956483876,0.8174285714285714,0.2185945837108628,0.8400000000000001,0.34485138941768617,0.7040440018790888,0.08429223340936005,0.0008747621905058622
credit-g,0.14,Task.DATA_IMBALANCE,RF,0.5627097013621765,0.8374285714285714,0.24318449030644151,0.8,0.3674424409962496,0.7579769617281031,0.09486642540432513,0.0009892082307487726
credit-g,0.15,Task.DATA_IMBALANCE,DT,0.5740385304632551,0.7737662337662338,0.24995379384914268,0.6727272727272727,0.3571344071344071,0.790942653792103,0.0743728751782328,0.0008646477945148945
credit-g,0.15,Task.DATA_IMBALANCE,RF,0.5953002216600376,0.788051948051948,0.2644862604540024,0.6545454545454545,0.37520457319538025,0.8153958701246952,0.1247830430045724,0.0010620388202369213
credit-g,0.16,Task.DATA_IMBALANCE,DT,0.6163583115350464,0.7974242424242423,0.29758809817633347,0.7015151515151515,0.4156980117431742,0.8170186113269183,0.09633681825362146,0.0009041421581059694
credit-g,0.16,Task.DATA_IMBALANCE,RF,0.6265181373593494,0.7981168831168832,0.29855910154936055,0.6939393939393941,0.4086892048912743,0.8443470698274244,0.1313806542661041,0.001061930786818266
credit-g,0.17,Task.DATA_IMBALANCE,DT,0.6249978315237182,0.8007142857142856,0.35044623655913976,0.6833333333333333,0.44118698593567307,0.8088086771117634,0.08696540188975632,0.0009410981554538011
credit-g,0.17,Task.DATA_IMBALANCE,RF,0.5987518154276321,0.8026190476190476,0.2941327678169784,0.7833333333333334,0.4235594541910331,0.7739441766642312,0.19446080992929637,0.001209945185109973
credit-g,0.18,Task.DATA_IMBALANCE,DT,0.6174974481770625,0.8063736263736263,0.3147219447219447,0.8615384615384617,0.46075410097149233,0.774240795382633,0.07028352087363601,0.0008687122259289026
credit-g,0.18,Task.DATA_IMBALANCE,RF,0.641148573244571,0.8120879120879121,0.35424338624338625,0.8307692307692308,0.48924880330116444,0.7930483431879773,0.09506123214960098,0.00100881215184927
credit-g,0.19,Task.DATA_IMBALANCE,DT,0.5786064764397054,0.7690423861852433,0.275945973363477,0.667032967032967,0.3809397163120568,0.7762732365673541,0.05973818125203252,0.0007862154394388199
credit-g,0.19,Task.DATA_IMBALANCE,RF,0.6312398907938943,0.814552590266876,0.3899170234131388,0.7505494505494505,0.476649660279384,0.7858301213084046,0.11708035254850983,0.0010705528780817985
credit-g,0.2,Task.DATA_IMBALANCE,DT,0.6306141894596506,0.7830612244897959,0.33855360325948564,0.7714285714285715,0.4658118762300713,0.7954165026892299,0.06494037653319537,0.0007934273686259985
credit-g,0.2,Task.DATA_IMBALANCE,RF,0.6259136215739763,0.7902040816326531,0.3517459995720865,0.5857142857142857,0.42572808795910494,0.8260991551888479,0.12044365936890244,0.0010379928629845382
credit-g,None,Task.FEATURE_INADEQUACY,DT,0.6967683201197532,0.7873333333333333,0.5414837398373984,0.6933333333333334,0.6040968421250111,0.7894397981144955,0.3429613555781543,0.0021427597384899855
credit-g,None,Task.FEATURE_INADEQUACY,RF,0.6736930218412936,0.7966666666666666,0.5056152398066145,0.72,0.5886063748665549,0.7587796688160324,0.6858207574114203,0.002478657569736242
credit-g,0.0,Task.NOISY_DATA,DT,0.8029779593929158,0.9225647994104238,0.7344437676144993,0.643189368770764,0.6847246396467673,0.9212312791390641,0.083700190205127,0.005401621619239449
credit-g,0.0,Task.NOISY_DATA,RF,0.7039149680044192,0.9084959484938672,0.8011930561698364,0.36589147286821705,0.4995882230358107,0.9082417129730276,0.10220151296816767,0.00567232291214168
credit-g,0.01,Task.NOISY_DATA,DT,0.8045520101613421,0.9200317199631531,0.7794496419496421,0.6406274509803922,0.6987876296655091,0.9103163906571752,0.08704698039218783,0.00542867723852396
credit-g,0.01,Task.NOISY_DATA,RF,0.7409842816684311,0.9053974365048033,0.8236847158218126,0.45474509803921564,0.5825797979387948,0.8993887653980671,0.1162036148365587,0.00536171100102365
credit-g,0.02,Task.NOISY_DATA,DT,0.8019487151297502,0.91912,0.7619138767254603,0.64,0.6947645436887929,0.9091328865707077,0.08923805397935211,0.00530723100528121
credit-g,0.02,Task.NOISY_DATA,RF,0.734199634603735,0.9032,0.8385407456528146,0.43600000000000005,0.5690157780991535,0.8993834911083167,0.12414665799587965,0.0053739650174975395
credit-g,0.03,Task.NOISY_DATA,DT,0.7877597855498292,0.9093651421001399,0.7423414617233337,0.610549645390071,0.6684053520769409,0.9071142190227175,0.09039491335861385,0.005300243012607097
credit-g,0.03,Task.NOISY_DATA,RF,0.7048296058621817,0.9028682371604857,0.8257815665138318,0.37198581560283683,0.5111385921388572,0.8985206195855063,0.14093175679445266,0.005437709158286452
credit-g,0.04,Task.NOISY_DATA,DT,0.8073701444397935,0.9008266666666666,0.7777064255743393,0.6519999999999999,0.70407601032875,0.9106642785508374,0.09347564219497144,0.005312495026737451
credit-g,0.04,Task.NOISY_DATA,RF,0.7389616401718965,0.8969066666666666,0.8261649221091945,0.45999999999999996,0.5785469602860908,0.8993763200577021,0.14998296364210545,0.005582835990935564
credit-g,0.05,Task.NOISY_DATA,DT,0.8068774896203277,0.9108887733887734,0.776895929447949,0.6499999999999999,0.7056875906969091,0.9080673885437461,0.11293312930501997,0.005338015407323838
credit-g,0.05,Task.NOISY_DATA,RF,0.7484647450927658,0.9005977130977131,0.8268540305010893,0.47307692307692306,0.5993122337381978,0.8976172564473339,0.1529463029000908,0.005478223646059632
credit-g,0.06,Task.NOISY_DATA,DT,0.7854687000913282,0.9050728253717594,0.7530392156862745,0.6061960784313725,0.6688673418085183,0.902070058374138,0.11349957240745426,0.005375186819583178
credit-g,0.06,Task.NOISY_DATA,RF,0.7125730444882088,0.8950981760757994,0.816798941798942,0.3977254901960784,0.5336410256410258,0.8915050633353921,0.16280780723318458,0.005485229985788464
credit-g,0.07,Task.NOISY_DATA,DT,0.7814039608983495,0.8905534559173374,0.7329455139029606,0.6190130624092889,0.6674739850076016,0.8953339367890972,0.12167573818005621,0.005505674052983522
credit-g,0.07,Task.NOISY_DATA,RF,0.7061500024760738,0.8833390638646703,0.8015682382133995,0.3931059506531205,0.5257273783589573,0.8865726265931902,0.15834830421954393,0.005438161781057715
credit-g,0.08,Task.NOISY_DATA,DT,0.7741584605492788,0.8867839015638067,0.735138786202616,0.5885369532428355,0.6523243254259394,0.8959925956726181,0.12287917821668089,0.005319778947159648
credit-g,0.08,Task.NOISY_DATA,RF,0.7034726823799765,0.881903667158306,0.7979332738322921,0.38755656108597286,0.5200551851788376,0.8868901795811153,0.20520553239621223,0.005530676012858749
credit-g,0.09,Task.NOISY_DATA,DT,0.7945378617046422,0.8994802494802496,0.7726469449568446,0.6192307692307691,0.6841651520143031,0.9049105713949815,0.126452797325328,0.0053671285510063175
credit-g,0.09,Task.NOISY_DATA,RF,0.7517290079325762,0.8938149688149688,0.7971890058705474,0.49230769230769234,0.6071475933551667,0.8963104225099856,0.262248253589496,0.005590938031673431
credit-g,0.1,Task.NOISY_DATA,DT,0.7946213416323289,0.9025952260804383,0.7461243032329989,0.6479385045422781,0.6919747044689291,0.8972679787957286,0.13284253124147655,0.005440656980499625
credit-g,0.1,Task.NOISY_DATA,RF,0.7398385312953848,0.8923927464211037,0.8226391976145295,0.4606568832983927,0.5876345173813528,0.8920425452094166,0.28738709380850197,0.005675460165366531
credit-g,0.0,Task.SEMI_SUPERVISED,DT,0.6846068093776935,0.7800714285714285,0.603689894967087,0.49000000000000005,0.5400415768685862,0.8291720418868007,0.0734308123588562,0.005650370428338647
credit-g,0.0,Task.SEMI_SUPERVISED,RF,0.6350419474522192,0.7939047619047619,0.6943327505827506,0.31333333333333335,0.4294782527627059,0.8406056421417325,0.18477731524035335,0.0059839239809662105
credit-g,0.01,Task.SEMI_SUPERVISED,DT,0.6516027296504185,0.7699805314186381,0.5505187749084726,0.4458757062146893,0.4907259824755509,0.8124794768252863,0.06936790142208338,0.005176051752641797
credit-g,0.01,Task.SEMI_SUPERVISED,RF,0.6449089798168068,0.7915745782150994,0.7045781508072944,0.3277966101694915,0.445855623285311,0.8439623363483028,0.19814419336616992,0.006302414182573557
credit-g,0.02,Task.SEMI_SUPERVISED,DT,0.6732511646785657,0.776336831584208,0.5646081041112097,0.496551724137931,0.5261799183528281,0.8203224110043033,0.07431170661002398,0.005235212435945868
credit-g,0.02,Task.SEMI_SUPERVISED,RF,0.6287416019743693,0.7892053973013493,0.6359924242424243,0.3172413793103448,0.42209933306318853,0.8353838708855502,0.19125302899628877,0.006097558652982116
credit-g,0.03,Task.SEMI_SUPERVISED,DT,0.6783725242233902,0.7568607774822674,0.5630428579581122,0.520810647307925,0.5400128749138651,0.8167321735329155,0.07792663760483265,0.0051731161773204805
credit-g,0.03,Task.SEMI_SUPERVISED,RF,0.6557793196759484,0.7877096614739793,0.6677183402433681,0.36122202056866304,0.4684739645470569,0.8430846748048397,0.18923673243261874,0.006067556561902165
